,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
CF,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
CHS,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
LNG,4.0,,,,4.0,,3.0,4.0,,3.0,1.0,3.0,,3.0,1.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,1.0,,3.0,,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0
JPM,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHRW,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CVX,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
CI,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,4.0,,3.0,,,,3.0,3.0,3.0,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0
CL,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0
CLF,3.0,3.0,2.0,0.0,0.0,,,,,,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLX,1.0,3.0,4.0,4.0,2.0,4.0,0.0,0.0,3.0,1.0,2.0,2.0,4.0,2.0,,2.0,4.0,2.0,3.0,2.0,0.0,2.0,3.0,3.0,1.0,4.0,0.0,0.0,3.0,4.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0
CMC,3.0,4.0,,2.0,3.0,3.0,,2.0,,,,,3.0,,,,3.0,3.0,,,3.0,,,2.0,,,,,,3.0,,3.0,3.0,,,3.0,3.0,3.0,,3.0,3.0,,,3.0
CMCSA,1.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
CME,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
CMG,3.0,3.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0
RDN,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,,1.0,1.0,,0.0,,,,2.0,,2.0,,,
CNQ,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0
CNX,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,3.0
COF,,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
CPB,4.0,0.0,0.0,1.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0
CRM,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
CRUS,,,,2.0,,,,,,1.0,,,2.0,2.0,,,,2.0,2.0,3.0,2.0,2.0,,2.0,,,,,0.0,,2.0,0.0,,1.0,,,,,,3.0,1.0,1.0,,
CSCO,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CSOD,1.0,,,2.0,2.0,2.0,3.0,3.0,2.0,2.0,,3.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,,0.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,
CSTM,,,3.0,2.0,3.0,3.0,2.0,,,,,,,,,,3.0,,1.0,,3.0,2.0,,2.0,3.0,,2.0,1.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0
CSX,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0
CTAS,2.0,,0.0,,2.0,,3.0,0.0,1.0,,1.0,3.0,2.0,,1.0,3.0,3.0,,1.0,3.0,3.0,,1.0,1.0,,,2.0,1.0,,,,2.0,2.0,,2.0,2.0,2.0,,3.0,3.0,2.0,,2.0,
CTB,4.0,4.0,3.0,4.0,0.0,4.0,3.0,0.0,1.0,4.0,3.0,0.0,4.0,3.0,4.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,
CTSH,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,2.0,4.0,3.0,2.0,2.0,0.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
